meta,sender,sender_type,sender_id,age,gender-birth,education,croatian-knowledge,occupation,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,response,response_action,answer_true,stimulus,context,island_type,transfer_s,transfer_c,id,right_answer,question
,Screen,canvas.Screen,1_8,,,,,,,response,7045.999999976164,130483.10000002384,130475.392,130491.9,137537.89999997616,137539.30000001192,2024-05-21T20:38:16.644Z,137558.6,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,mousedown,,,,,,,,,
,Question form,html.Form,1_9,,,,,,,form submission,9513.799999976152,137539.5,137542.05,137558.6,147072.39999997616,147072.80000001192,2024-05-21T20:38:26.177Z,147075.548,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,,Zrele,,,,,,,,
,Screen,canvas.Screen,1_10,,,,,,,response,3281.252000011911,147074.60000002384,147075.548,147075.548,150356.80000001192,150357.89999997616,2024-05-21T20:38:29.463Z,150375.4,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,mousedown,,,,,,,,,
,inter-stimulus,canvas.Screen,1_11,,,,,,,response,4842.799999988085,150358.10000002384,150358.916,150375.4,155218.19999998808,155219.39999997616,2024-05-21T20:38:34.324Z,155225.588,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,mousedown,,,,,,,,,
,First stimuli,flow.Sequence,1,,,,,,,completion,117443.19999998808,37765.19999998808,37758.288,37775,155218.19999998808,155221.89999997616,2024-05-21T20:38:34.327Z,155225.588,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,,,,,,,,,,
,context,canvas.Screen,2_0_0_0,,,,,,,response,3069.1119999880902,155222.39999997616,155225.588,155225.588,158294.69999998808,158296.10000002384,2024-05-21T20:38:37.401Z,158308.6,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,click,,Jedna vrlo duboka tamo postoji pećina.,Tamo postoji jedna vrlo duboka pećina.,lbc,,,37,,
,Timer frame,html.Frame,2_0_0,,,,,,,,3070.712000011932,155222.10000002384,155225.588,155225.588,158296.30000001192,158296.5,2024-05-21T20:38:37.401Z,158308.6,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,,,Jedna vrlo duboka tamo postoji pećina.,Tamo postoji jedna vrlo duboka pećina.,lbc,,,37,,
,stimulus,canvas.Screen,2_0_1_0,,,,,,,response,8072.000000023836,158297.10000002384,158292.074,158308.6,166380.60000002384,166381.60000002384,2024-05-21T20:38:45.486Z,166392,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,3,click @3,,Jedna vrlo duboka tamo postoji pećina.,Tamo postoji jedna vrlo duboka pećina.,lbc,,,37,,
,Timer frame,html.Frame,2_0_1,,,,,,,,8073.099999988073,158296.69999998808,158292.074,158308.6,166381.69999998808,166382.39999997616,2024-05-21T20:38:45.487Z,166392,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,,,Jedna vrlo duboka tamo postoji pećina.,Tamo postoji jedna vrlo duboka pećina.,lbc,,,37,,
,Spremanje,canvas.Screen,2_0_2,,,,,,,skipped,,166382.5,,,166381.69999998808,166382.60000002384,2024-05-21T20:38:45.487Z,166392,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,,,Jedna vrlo duboka tamo postoji pećina.,Tamo postoji jedna vrlo duboka pećina.,lbc,,,37,,
,Question form,html.Form,2_0_3,,,,,,,skipped,,166382.80000001192,,,166381.69999998808,166382.80000001192,2024-05-21T20:38:45.488Z,166392,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,,,Jedna vrlo duboka tamo postoji pećina.,Tamo postoji jedna vrlo duboka pećina.,lbc,,,37,,
,Answer indication,canvas.Screen,2_0_4,,,,,,,skipped,,166384.19999998808,,,166381.69999998808,166384.30000001192,2024-05-21T20:38:45.489Z,166392,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,,,Jedna vrlo duboka tamo postoji pećina.,Tamo postoji jedna vrlo duboka pećina.,lbc,,,37,,
,inter-stimulus,canvas.Screen,2_0_5,,,,,,,response,3171.800000011921,166384.5,166375.482,166392,169563.80000001192,169565,2024-05-21T20:38:48.670Z,169575.4,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,mousedown,,Jedna vrlo duboka tamo postoji pećina.,Tamo postoji jedna vrlo duboka pećina.,lbc,,,37,,
,Sequence,flow.Sequence,2_0,,,,,,,completion,14338.212000011932,155222.10000002384,155225.588,155225.588,169563.80000001192,169565.19999998808,2024-05-21T20:38:48.670Z,169575.4,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,,,Jedna vrlo duboka tamo postoji pećina.,Tamo postoji jedna vrlo duboka pećina.,lbc,,,37,,
,context,canvas.Screen,2_1_0_0,,,,,,,response,2871.499999976164,169565.60000002384,169558.888,169575.4,172446.89999997616,172447.89999997616,2024-05-21T20:38:51.553Z,172458.7,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,click,,Za kim su banditi imali pitanja?,Ti banditi su imali pitanja za mene.,nf,,,40,,
,Timer frame,html.Frame,2_1_0,,,,,,,,2872.600000000006,169565.39999997616,169558.888,169575.4,172448,172448.10000002384,2024-05-21T20:38:51.553Z,172458.7,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,,,Za kim su banditi imali pitanja?,Ti banditi su imali pitanja za mene.,nf,,,40,,
,stimulus,canvas.Screen,2_1_1_0,,,,,,,response,8817.90000002383,172448.60000002384,172442.126,172458.7,181276.60000002384,181277.5,2024-05-21T20:39:00.382Z,181292.256,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,1,click @1,,Za kim su banditi imali pitanja?,Ti banditi su imali pitanja za mene.,nf,,,40,,
,Timer frame,html.Frame,2_1_1,,,,,,,,8818.90000002383,172448.30000001192,172442.126,172458.7,181277.60000002384,181277.80000001192,2024-05-21T20:39:00.382Z,181292.256,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,,,Za kim su banditi imali pitanja?,Ti banditi su imali pitanja za mene.,nf,,,40,,
,Spremanje,canvas.Screen,2_1_2,,,,,,,skipped,,181277.89999997616,,,181277.60000002384,181278,2024-05-21T20:39:00.383Z,181292.256,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,,,Za kim su banditi imali pitanja?,Ti banditi su imali pitanja za mene.,nf,,,40,,
,Question form,html.Form,2_1_3,,,,,,,skipped,,181278.10000002384,,,181277.60000002384,181278.19999998808,2024-05-21T20:39:00.383Z,181292.256,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,,,Za kim su banditi imali pitanja?,Ti banditi su imali pitanja za mene.,nf,,,40,,
,Answer indication,canvas.Screen,2_1_4,,,,,,,skipped,,181279.60000002384,,,181277.60000002384,181279.69999998808,2024-05-21T20:39:00.384Z,181292.256,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,,,Za kim su banditi imali pitanja?,Ti banditi su imali pitanja za mene.,nf,,,40,,
,inter-stimulus,canvas.Screen,2_1_5,,,,,,,response,2269.244000000006,181279.80000001192,181292.256,181292.256,183561.5,183562.80000001192,2024-05-21T20:39:02.668Z,183575.5,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,mousedown,,Za kim su banditi imali pitanja?,Ti banditi su imali pitanja za mene.,nf,,,40,,
,Sequence,flow.Sequence,2_1,,,,,,,completion,13986.100000000006,169565.39999997616,169558.888,169575.4,183561.5,183563.10000002384,2024-05-21T20:39:02.669Z,183575.5,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,,,Za kim su banditi imali pitanja?,Ti banditi su imali pitanja za mene.,nf,,,40,,
,context,canvas.Screen,2_2_0_0,,,,,,,response,4815.100000023842,183563.5,183558.922,183575.5,188390.60000002384,188391.60000002384,2024-05-21T20:39:07.497Z,188408.8,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,click,,Kad je Lena pronašla honorarni posao?,Lena je pronašla honorarni posao ubrzo nakon praznika..,gf,,32,51,,
,Timer frame,html.Frame,2_2_0,,,,,,,,4816.300000011921,183563.30000001192,183558.922,183575.5,188391.80000001192,188391.89999997616,2024-05-21T20:39:07.497Z,188408.8,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,,,Kad je Lena pronašla honorarni posao?,Lena je pronašla honorarni posao ubrzo nakon praznika..,gf,,32,51,,
,stimulus,canvas.Screen,2_2_1_0,,,,,,,response,9538.09999997617,188392.30000001192,188392.232,188408.8,197946.89999997616,197948.10000002384,2024-05-21T20:39:17.054Z,197975.6,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,7,click @7,,Kad je Lena pronašla honorarni posao?,Lena je pronašla honorarni posao ubrzo nakon praznika..,gf,,32,51,,
,Timer frame,html.Frame,2_2_1,,,,,,,,9539.39999998809,188392,188392.232,188408.8,197948.19999998808,197948.39999997616,2024-05-21T20:39:17.054Z,197975.6,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,,,Kad je Lena pronašla honorarni posao?,Lena je pronašla honorarni posao ubrzo nakon praznika..,gf,,32,51,,
,Spremanje,canvas.Screen,2_2_2,,,,,,,skipped,,197948.5,,,197948.19999998808,197948.60000002384,2024-05-21T20:39:17.054Z,197975.6,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,,,Kad je Lena pronašla honorarni posao?,Lena je pronašla honorarni posao ubrzo nakon praznika..,gf,,32,51,,
,Question form,html.Form,2_2_3,,,,,,,skipped,,197948.69999998808,,,197948.19999998808,197948.80000001192,2024-05-21T20:39:17.054Z,197975.6,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,,,Kad je Lena pronašla honorarni posao?,Lena je pronašla honorarni posao ubrzo nakon praznika..,gf,,32,51,,
,Answer indication,canvas.Screen,2_2_4,,,,,,,skipped,,197949.80000001192,,,197948.19999998808,197950,2024-05-21T20:39:17.055Z,197975.6,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,,,Kad je Lena pronašla honorarni posao?,Lena je pronašla honorarni posao ubrzo nakon praznika..,gf,,32,51,,
,inter-stimulus,canvas.Screen,2_2_5,,,,,,,response,2521.700000011915,197950.10000002384,197959.008,197975.6,200497.30000001192,200498.5,2024-05-21T20:39:19.604Z,200508.8,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,mousedown,,Kad je Lena pronašla honorarni posao?,Lena je pronašla honorarni posao ubrzo nakon praznika..,gf,,32,51,,
,Sequence,flow.Sequence,2_2,,,,,,,completion,16921.80000001192,183563.19999998808,183558.922,183575.5,200497.30000001192,200498.80000001192,2024-05-21T20:39:19.604Z,200508.8,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,,,Kad je Lena pronašla honorarni posao?,Lena je pronašla honorarni posao ubrzo nakon praznika..,gf,,32,51,,
,context,canvas.Screen,2_3_0_0,,,,,,,response,3021.8999999880907,200499.19999998808,200492.328,200508.8,203530.69999998808,203531.5,2024-05-21T20:39:22.637Z,203542.2,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,click,,Stare su samo Čehovljeve priče bile u ovoj knjižnici..,Samo su Čehovljeve priče bile stare u ovoj knjižnici..,di,35,35,33,,
,Timer frame,html.Frame,2_3_0,,,,,,,,3022.8000000238535,200499,200492.328,200508.8,203531.60000002384,203531.69999998808,2024-05-21T20:39:22.637Z,203542.2,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,,,Stare su samo Čehovljeve priče bile u ovoj knjižnici..,Samo su Čehovljeve priče bile stare u ovoj knjižnici..,di,35,35,33,,
,stimulus,canvas.Screen,2_3_1_0,,,,,,,response,9938.40000002383,203532.19999998808,203542.132,203542.2,213480.60000002384,213481.5,2024-05-21T20:39:32.587Z,213492.2,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,3,click @3,,Stare su samo Čehovljeve priče bile u ovoj knjižnici..,Samo su Čehovljeve priče bile stare u ovoj knjižnici..,di,35,35,33,,
,Timer frame,html.Frame,2_3_1,,,,,,,,9939.499999988067,203531.89999997616,203542.132,203542.2,213481.69999998808,213481.80000001192,2024-05-21T20:39:32.587Z,213492.2,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,,,Stare su samo Čehovljeve priče bile u ovoj knjižnici..,Samo su Čehovljeve priče bile stare u ovoj knjižnici..,di,35,35,33,,
,Spremanje,canvas.Screen,2_3_2,,,,,,,skipped,,213481.89999997616,,,213481.69999998808,213482,2024-05-21T20:39:32.588Z,213492.2,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,,,Stare su samo Čehovljeve priče bile u ovoj knjižnici..,Samo su Čehovljeve priče bile stare u ovoj knjižnici..,di,35,35,33,,
,Question form,html.Form,2_3_3,,,,,,,skipped,,213482.10000002384,,,213481.69999998808,213482.19999998808,2024-05-21T20:39:32.588Z,213492.2,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,,,Stare su samo Čehovljeve priče bile u ovoj knjižnici..,Samo su Čehovljeve priče bile stare u ovoj knjižnici..,di,35,35,33,,
,Answer indication,canvas.Screen,2_3_4,,,,,,,skipped,,213483.19999998808,,,213481.69999998808,213483.19999998808,2024-05-21T20:39:32.589Z,213492.2,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,,,Stare su samo Čehovljeve priče bile u ovoj knjižnici..,Samo su Čehovljeve priče bile stare u ovoj knjižnici..,di,35,35,33,,
,inter-stimulus,canvas.Screen,2_3_5,,,,,,,response,2027.4999999880674,213483.39999997616,213475.73,213492.2,215519.69999998808,215520.89999997616,2024-05-21T20:39:34.626Z,215525.6,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,mousedown,,Stare su samo Čehovljeve priče bile u ovoj knjižnici..,Samo su Čehovljeve priče bile stare u ovoj knjižnici..,di,35,35,33,,
,Sequence,flow.Sequence,2_3,,,,,,,completion,15010.89999998809,200498.80000001192,200492.328,200508.8,215519.69999998808,215521.30000001192,2024-05-21T20:39:34.627Z,215525.6,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,,,Stare su samo Čehovljeve priče bile u ovoj knjižnici..,Samo su Čehovljeve priče bile stare u ovoj knjižnici..,di,35,35,33,,
,context,canvas.Screen,2_4_0_0,,,,,,,response,5745.000000023836,215521.60000002384,215509.058,215525.6,221270.60000002384,221271.39999997616,2024-05-21T20:39:40.377Z,221275.7,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,click,,Na što je teško prestati besmisleno bacati novac?,Teško je prestati besmisleno bacati novac na tenisice.,si,,,13,,
,Timer frame,html.Frame,2_4_0,,,,,,,,5746.000000023836,215521.39999997616,215509.058,215525.6,221271.60000002384,221271.69999998808,2024-05-21T20:39:40.377Z,221275.7,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,,,Na što je teško prestati besmisleno bacati novac?,Teško je prestati besmisleno bacati novac na tenisice.,si,,,13,,
,stimulus,canvas.Screen,2_4_1_0,,,,,,,response,9150.90000002383,221272.10000002384,221259.066,221275.7,230426.60000002384,230427.60000002384,2024-05-21T20:39:49.533Z,230442.2,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,6,click @6,,Na što je teško prestati besmisleno bacati novac?,Teško je prestati besmisleno bacati novac na tenisice.,si,,,13,,
,Timer frame,html.Frame,2_4_1,,,,,,,,9152.10000001191,221271.89999997616,221259.066,221275.7,230427.80000001192,230427.89999997616,2024-05-21T20:39:49.533Z,230442.2,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,,,Na što je teško prestati besmisleno bacati novac?,Teško je prestati besmisleno bacati novac na tenisice.,si,,,13,,
,Spremanje,canvas.Screen,2_4_2,,,,,,,skipped,,230428,,,230427.80000001192,230428,2024-05-21T20:39:49.534Z,230442.2,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,,,Na što je teško prestati besmisleno bacati novac?,Teško je prestati besmisleno bacati novac na tenisice.,si,,,13,,
,Question form,html.Form,2_4_3,,,,,,,skipped,,230428.10000002384,,,230427.80000001192,230428.19999998808,2024-05-21T20:39:49.534Z,230442.2,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,,,Na što je teško prestati besmisleno bacati novac?,Teško je prestati besmisleno bacati novac na tenisice.,si,,,13,,
,Answer indication,canvas.Screen,2_4_4,,,,,,,skipped,,230429,,,230427.80000001192,230429.10000002384,2024-05-21T20:39:49.535Z,230442.2,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,,,Na što je teško prestati besmisleno bacati novac?,Teško je prestati besmisleno bacati novac na tenisice.,si,,,13,,
,inter-stimulus,canvas.Screen,2_4_5,,,,,,,response,3401.6000000119093,230429.30000001192,230425.762,230442.2,233843.80000001192,233844.89999997616,2024-05-21T20:39:52.950Z,233859,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,mousedown,,Na što je teško prestati besmisleno bacati novac?,Teško je prestati besmisleno bacati novac na tenisice.,si,,,13,,
,Sequence,flow.Sequence,2_4,,,,,,,completion,18318.200000011915,215521.30000001192,215509.058,215525.6,233843.80000001192,233845.10000002384,2024-05-21T20:39:52.951Z,233859,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,,,Na što je teško prestati besmisleno bacati novac?,Teško je prestati besmisleno bacati novac na tenisice.,si,,,13,,
,context,canvas.Screen,2_5_0_0,,,,,,,response,2315.600000023842,233845.5,233842.492,233859,236174.60000002384,236175.89999997616,2024-05-21T20:39:55.281Z,236192.3,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,click,,"Kamo da ne odeš gladan, doručkovao si?",Doručkovao si da ne odeš gladan u planine.,ai,,,21,,
,Timer frame,html.Frame,2_5_0,,,,,,,,2317.100000023842,233845.19999998808,233842.492,233859,236176.10000002384,236176.30000001192,2024-05-21T20:39:55.282Z,236192.3,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,,,"Kamo da ne odeš gladan, doručkovao si?",Doručkovao si da ne odeš gladan u planine.,ai,,,21,,
,stimulus,canvas.Screen,2_5_1_0,,,,,,,response,5996.399999988091,236176.60000002384,236175.732,236192.3,242188.69999998808,242189.60000002384,2024-05-21T20:40:01.295Z,242209,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,2,click @2,,"Kamo da ne odeš gladan, doručkovao si?",Doručkovao si da ne odeš gladan u planine.,ai,,,21,,
,Timer frame,html.Frame,2_5_1,,,,,,,,5997.399999988091,236176.39999997616,236175.732,236192.3,242189.69999998808,242189.80000001192,2024-05-21T20:40:01.295Z,242209,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,,,"Kamo da ne odeš gladan, doručkovao si?",Doručkovao si da ne odeš gladan u planine.,ai,,,21,,
,Spremanje,canvas.Screen,2_5_2,,,,,,,skipped,,242190,,,242189.69999998808,242190,2024-05-21T20:40:01.295Z,242209,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,,,"Kamo da ne odeš gladan, doručkovao si?",Doručkovao si da ne odeš gladan u planine.,ai,,,21,,
,Question form,html.Form,2_5_3,,,,,,,skipped,,242190.10000002384,,,242189.69999998808,242190.19999998808,2024-05-21T20:40:01.296Z,242209,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,,,"Kamo da ne odeš gladan, doručkovao si?",Doručkovao si da ne odeš gladan u planine.,ai,,,21,,
,Answer indication,canvas.Screen,2_5_4,,,,,,,skipped,,242191.10000002384,,,242189.69999998808,242191.19999998808,2024-05-21T20:40:01.297Z,242209,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,,,"Kamo da ne odeš gladan, doručkovao si?",Doručkovao si da ne odeš gladan u planine.,ai,,,21,,
,inter-stimulus,canvas.Screen,2_5_5,,,,,,,response,2648.5,242191.39999997616,242192.49,242209,244857.5,244858.69999998808,2024-05-21T20:40:03.964Z,244875.8,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,mousedown,,"Kamo da ne odeš gladan, doručkovao si?",Doručkovao si da ne odeš gladan u planine.,ai,,,21,,
,Sequence,flow.Sequence,2_5,,,,,,,completion,10998.5,233845.19999998808,233842.492,233859,244857.5,244858.89999997616,2024-05-21T20:40:03.964Z,244875.8,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,,,"Kamo da ne odeš gladan, doručkovao si?",Doručkovao si da ne odeš gladan u planine.,ai,,,21,,
,context,canvas.Screen,2_6_0_0,,,,,,,response,7280.700000000012,244859.19999998808,244859.196,244875.8,252156.5,252157.39999997616,2024-05-21T20:40:11.262Z,252159.196,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,click,,Koliko vidim dječka kojem je ljubazni poštar poklonio bicikla??,Vidim dječaka kojem je ljubazni poštar poklonio dva bicikla..,cnp,37,38,10,,
